tweet_id,tweet_comment
106,want to work at sperry were hiring in cincinnati oh click for details URL retail job jobs careerarc
107,nursing job alert registered nurse rn intensive care accountable healthcare staffing verobeach fl URL
108,customer service associate ii lowes stores EMO_NEG aiken sc URL retail job jobs hiring
109,were hiring read about our latest job opening here intern marketing URL jacksonville fl marketing
110,want to work in view our latest opening URL hospitality veterans job jobs hiring careerarc
111,sneakpeek getting close to finishing this up do you know who it is markers copic URL
112,apartment of the future project now driven URL
113,nycmissed spectacular blue top m4w road noise URL
114,why im doing now at work on a saturday morning studytime pnc bank cleveland main URL
115,could not be more proud of these kids spartanrace beastmode crazydna theobstaclestho URL
116,science fair hopewell new jersey URL
117,art apple store georgetown URL
118,im at international tennis hall of fame museum in newport ri URL
119,last night ucwrfc took home two team awards from the club sports banquet peoples choice and URL
120,way to go jesscopeland beachcheerathletics season3 makingwaves torontocheerleading URL
121,billings clinic nursing job cna aspen meadows billings mt URL rn rnjobs madewithlove URL
122,nothing like some records first thing in the morning happy recordstoreday everyone rsd16 URL
123,im at durrers in guelph URL
124,supplemental health care rn needed asap covington ga URL healthcare job jobs URL
125,interested in a sales job near stamford ct this could be a great fit URL hiring careerarc
126,early bird gets the newyorkiloveyou notcoachella john f URL
127,the first time i staffed out here at camp years ago i was hired as the archery instructor URL
128,want to work in limerick pa view our latest opening URL sales job jobs hiring careerarc
129,chicos retail job sales lead strongsville oh URL jobs hiring
130,sonic drivein carhop server sanantonio tx URL hospitality job jobs hiring
131,yes goodmorning great meeting ahead of me today stay tuned as always realhousemusic URL
132,felicidades ya solo te falta un mesesito y ya gracias por URL
133,lbctractchallenge day leave a tract at a redbox lighthouse URL
134,can you recommend anyone for this job hair stylist URL albemarle nc cosmetology hiring careerarc
135,waiting on four new tires oh boy starbucks in greer sc URL
136,llegue tarde jejejeje universidad del valle de USER_MENTION in miguel hidalgo df URL
137,ready for a fabulous day USER_MENTION today it is toyota s big day while you are here pick up URL
138,im at aeropuerto internacional de monterrey mty USER_MENTION in apodaca nl URL
139,leadership today pumped to take my students to truly living well URL
140,my view for the morning byptv2k16 turkeyhunting thunderchickens turkeyhunting whitewater URL
141,new listing coming soon off kernan great neighborhood contact me for more details jon URL
142,can you recommend anyone for this job physician hospitalist URL richmond va physician URL
143,tassel top paired with chambray wide leg culottes ootd lotd fashion style URL
144,atlanta ga healthcare job patient care tech ii nights at northside hospital URL jobs hiring careerarc
145,want to work at the vitamin shoppe were hiring in gambrills md click for details URL job jobs careerarc
146,el paso URL
147,de un tiempo se que a confiar en mi hollywood URL
148,join the tyco team see our latest skilledtrade job opening here URL horsham pa hiring
149,businessmgmt job in columbia md net web developer at URL jobs hiring careerarc
150,vcu health system businessmgmt job perform improve coor richmond va URL jobs hiring careerarc
151,spring comes to nypl nypl the new york public library URL
152,so i uhh wanna go back nd see the movie brooklyn bridge URL
153,little league opening day short beach in stratford ct URL
154,what better way to start your saturday then with brunch at rocco restaurant and bar serving URL
155,i jump so high i can touch the stars jhlw paris france london italy dubai URL
156,dropping off woot little free library on highland ct in birmingham al URL URL
157,erin is set up today at longbranch park ready for the autism walk today she has the beautiful URL
158,incident on i678 nb from exit liberty avenue to exit main street URL
159,cleared incident on i90 wb from exit us to exit corporate woods boulevard
160,cleared incident on i90 wb from exit us to exit corporate woods boulevard
161,starting our day at the taj mahal of high school tennis facilities heritage hall okc URL
162,person captive audience in an hour and fifteen minutes kwcanoe princess cinemas URL
163,mentee thanks youngin birthdayweekend dreamsarereal repost USER_MENTION with URL
164,just posted a photo william beaumont hospital royal oak URL
165,triple c smoked amber now available on tap URL USER_MENTION beermenus
166,perfect morning for an tminus3weeks teamdubs mandtforever URL
167,waking up early on saturday mornings actually isnt so bad alexandria virginia URL
168,coffee time konditori in brooklyn ny URL URL
169,URL
170,see ya hollywoodstudios herewego orlando fl walt disney world URL
171,im at USER_MENTION in lithonia ga URL
172,lol me and you no be same life of deceit lon live USER_MENTION thats it we are not sorry URL
173,im at sky house dallas in dallas tx URL
174,tractor supply company retail job store team member greenwich ny URL jobs hiring careerarc
175,retail store positions cvs health EMO_NEG athens ga URL retail job jobs hiring careerarc
176,see our latest dover pa job and click to apply hha cna dover pa URL hiring
177,rockville maryland URL
178,account support analyst fulfillment lexisnexis risk EMO_NEG alpharetta ga URL customerservice job jobs hiring
179,were hiring click to apply turkish interpreters URL job interpreter bilingual atlanta ga jobs
180,im at bosque de tlalpan in tlalpan distrito federal URL
181,not a bad price for a nyc breakfast bargin nyc coffeislife street herald square URL
182,incident on i87nysthruway nb at after tappan zee bridge toll barrier URL
183,i have tonsillitis but at least im covered in cute kittens the little clinic URL
184,spring has truly sprung USER_MENTION the tulips are coming on strong and the place smells URL
185,try URL caesar salad grilled chicken or grilled shrimp grilled menu
186,were hiring read about our latest job opening here maintenance technician tire URL URL
187,myself with the hardcore wrestling legend terry funk east URL
188,USER_MENTION introducing USER_MENTION to keynote baconbytes rm URL
189,happy anniversary mom dad vernon connecticut URL
190,were coming for you duluthmn and superiorwi see you today at the gitchigumibrewfest stop by URL
191,i might not make it orangeville fairgrounds URL
192,clerical job alert voluntary service specialist department of veterans affairs baltimore md URL veterans
193,out of the water achadosdasemana old desafioprimeira fotografeumaideia vsco vscocam URL
194,want to work in raleigh nc view our latest opening URL hospitality parttime veterans job jobs hiring
195,can you recommend anyone for this hospitality job URL atlanta ga veterans hiring careerarc
196,this sales job might be a great fit for you assistant route service sales representative uniform cmv URL
197,whirlpool niagara fishing uglystick fishwhistle whirlpool rapids niagara gorge on canada URL
198,can you recommend anyone for this job certified nursing assistant cna home health aide hha URL allentown pa
199,miami beach florida URL
